configuration_number,vectorizer_param,model_param,f1
60,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.6976160289138482
61,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.5458118292149317
62,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6977985843037352
63,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.5444062319529377
64,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': False},{'alpha': 2.0, 'fit_prior': False},0.6977140411243284
65,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': True},0.6522144506930331
66,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.0, 'fit_prior': False},0.6815844106127977
67,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': True},0.6519234362105921
68,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 0.5, 'fit_prior': False},0.6816989948993991
69,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': True},0.6516004402780547
70,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 1.0, 'fit_prior': False},0.6816540276033476
71,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': True},0.6511512701275095
72,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': True},{'alpha': 2.0, 'fit_prior': False},0.6816612251493621
73,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': True},0.6519333173649946
74,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.0, 'fit_prior': False},0.6823784869639324
75,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': True},0.6518002454050597
76,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 0.5, 'fit_prior': False},0.6822041442395401
77,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': True},0.6514382592882579
78,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 1.0, 'fit_prior': False},0.6822041442395401
79,{'binary': True, 'max_df': 1.0, 'max_features': 300, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': False, 'stop_words': 'english', 'sublinear_tf': True, 'use_idf': False},{'alpha': 2.0, 'fit_prior': True},0.6507752579707797
